# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
 758 3.2369259954e-10 3.3411424477e-12 -1.8372359079e-11 0.0000000000e+00 1.7889058294e-14 5.6914620412e-15 -4.6046364635e-16
 759 3.2488216286e-10 3.3024861898e-12 -1.8305458682e-11 0.0000000000e+00 1.7802638390e-14 5.6844656429e-15 -4.5524520665e-16
 760 3.2606141443e-10 3.2638527645e-12 -1.8233447667e-11 0.0000000000e+00 1.7716739784e-14 5.6774085393e-15 -4.4999716939e-16
 761 3.2722968517e-10 3.2252628192e-12 -1.8156330150e-11 0.0000000000e+00 1.7631356956e-14 5.6703132408e-15 -4.4472308838e-16
 762 3.2838629977e-10 3.1867372072e-12 -1.8074110588e-11 0.0000000000e+00 1.7546484269e-14 5.6632024946e-15 -4.3942655534e-16
 763 3.2953057662e-10 3.1482969885e-12 -1.7986793777e-11 0.0000000000e+00 1.7462115970e-14 5.6560992856e-15 -4.3411119999e-16
 764 3.3066187700e-10 3.1099622183e-12 -1.7894392095e-11 0.0000000000e+00 1.7378246856e-14 5.6490204466e-15 -4.2878022571e-16
 765 3.3177975347e-10 3.0717482853e-12 -1.7796947364e-11 0.0000000000e+00 1.7294874293e-14 5.6419573549e-15 -4.2343500648e-16
 766 3.3288380425e-10 3.0336695050e-12 -1.7694509406e-11 0.0000000000e+00 1.7211996235e-14 5.6348948684e-15 -4.1807646339e-16
 767 3.3397362430e-10 2.9957403254e-12 -1.7587128847e-11 0.0000000000e+00 1.7129610558e-14 5.6278176827e-15 -4.1270552671e-16
 768 3.3504880533e-10 2.9579753278e-12 -1.7474857120e-11 0.0000000000e+00 1.7047715065e-14 5.6207103301e-15 -4.0732313597e-16
 769 3.3610893581e-10 2.9203892270e-12 -1.7357746469e-11 0.0000000000e+00 1.6966307480e-14 5.6135571794e-15 -4.0193023994e-16
 770 3.3715360091e-10 2.8829968718e-12 -1.7235849948e-11 0.0000000000e+00 1.6885385450e-14 5.6063424350e-15 -3.9652779667e-16
 771 3.3818238252e-10 2.8458132455e-12 -1.7109221429e-11 0.0000000000e+00 1.6804946546e-14 5.5990501366e-15 -3.9111677352e-16
 772 3.3919485925e-10 2.8088534660e-12 -1.6977915603e-11 0.0000000000e+00 1.6724988261e-14 5.5916641585e-15 -3.8569814723e-16
 773 3.4019060640e-10 2.7721327866e-12 -1.6841987980e-11 0.0000000000e+00 1.6645508009e-14 5.5841682094e-15 -3.8027290386e-16
 774 3.4116919596e-10 2.7356665961e-12 -1.6701494896e-11 0.0000000000e+00 1.6566503128e-14 5.5765458314e-15 -3.7484203891e-16
 775 3.4213019660e-10 2.6994704195e-12 -1.6556493514e-11 0.0000000000e+00 1.6487970874e-14 5.5687803997e-15 -3.6940655729e-16
 776 3.4307317366e-10 2.6635599179e-12 -1.6407041829e-11 0.0000000000e+00 1.6409908428e-14 5.5608551223e-15 -3.6396747337e-16
 777 3.4399768914e-10 2.6279508897e-12 -1.6253198666e-11 0.0000000000e+00 1.6332312889e-14 5.5527530388e-15 -3.5852581102e-16
 778 3.4490330169e-10 2.5926592701e-12 -1.6095023688e-11 0.0000000000e+00 1.6255181277e-14 5.5444570208e-15 -3.5308260360e-16
 779 3.4578956660e-10 2.5577011324e-12 -1.5932577396e-11 0.0000000000e+00 1.6178510533e-14 5.5359497703e-15 -3.4763889405e-16
 780 3.4665603579e-10 2.5230926877e-12 -1.5765921134e-11 0.0000000000e+00 1.6102297517e-14 5.5272138201e-15 -3.4219573486e-16
 781 3.4750225782e-10 2.4888502855e-12 -1.5595117090e-11 0.0000000000e+00 1.6026539010e-14 5.5182315326e-15 -3.3675418811e-16
 782 3.4832777783e-10 2.4549904146e-12 -1.5420228301e-11 0.0000000000e+00 1.5951231709e-14 5.5089850997e-15 -3.3131532555e-16
 783 3.4913213759e-10 2.4215297027e-12 -1.5241318652e-11 0.0000000000e+00 1.5876372234e-14 5.4994565420e-15 -3.2588022854e-16
 784 3.4991487546e-10 2.3884849174e-12 -1.5058452884e-11 0.0000000000e+00 1.5801957119e-14 5.4896277085e-15 -3.2044998818e-16
 785 3.5067552637e-10 2.3558729663e-12 -1.4871696593e-11 0.0000000000e+00 1.5727982820e-14 5.4794802756e-15 -3.1502570525e-16
 786 3.5141362183e-10 2.3237108977e-12 -1.4681116236e-11 0.0000000000e+00 1.5654445710e-14 5.4689957472e-15 -3.0960849028e-16
 787 3.5212868993e-10 2.2920159008e-12 -1.4486779130e-11 0.0000000000e+00 1.5581342078e-14 5.4581554537e-15 -3.0419946359e-16
 788 3.5282025530e-10 2.2608053060e-12 -1.4288753458e-11 0.0000000000e+00 1.5508668131e-14 5.4469405516e-15 -2.9879975530e-16
 789 3.5348783912e-10 2.2300965856e-12 -1.4087108273e-11 0.0000000000e+00 1.5436419994e-14 5.4353320230e-15 -2.9341050536e-16
 790 3.5413095911e-10 2.1999073540e-12 -1.3881913497e-11 0.0000000000e+00 1.5364593707e-14 5.4233106749e-15 -2.8803286357e-16
 791 3.5474912950e-10 2.1702553683e-12 -1.3673239926e-11 0.0000000000e+00 1.5293185227e-14 5.4108571391e-15 -2.8266798963e-16
 792 3.5534186107e-10 2.1411585284e-12 -1.3461159233e-11 0.0000000000e+00 1.5222190428e-14 5.3979518709e-15 -2.7731705316e-16
 793 3.5590866108e-10 2.1126348776e-12 -1.3245743972e-11 0.0000000000e+00 1.5151605097e-14 5.3845751494e-15 -2.7198123372e-16
 794 3.5644903330e-10 2.0847026033e-12 -1.3027067578e-11 0.0000000000e+00 1.5081424940e-14 5.3707070765e-15 -2.6666172086e-16
 795 3.5696247799e-10 2.0573800367e-12 -1.2805204372e-11 0.0000000000e+00 1.5011645574e-14 5.3563275762e-15 -2.6135971412e-16
 796 3.5744849188e-10 2.0306856539e-12 -1.2580229564e-11 0.0000000000e+00 1.4942262533e-14 5.3414163946e-15 -2.5607642308e-16
 797 3.5790656818e-10 2.0046380760e-12 -1.2352219255e-11 0.0000000000e+00 1.4873271265e-14 5.3259530990e-15 -2.5081306738e-16
 798 3.5833627319e-10 1.9792540323e-12 -1.2121251886e-11 0.0000000000e+00 1.4804667676e-14 5.3099231021e-15 -2.4557065066e-16
 799 3.5873747772e-10 1.9545422094e-12 -1.1887412612e-11 0.0000000000e+00 1.4736449770e-14 5.2933358572e-15 -2.4034927776e-16
 800 3.5911012988e-10 1.9305092902e-12 -1.1650789012e-11 0.0000000000e+00 1.4668616038e-14 5.2762069951e-15 -2.3514882508e-16
 801 3.5945417885e-10 1.9071619815e-12 -1.1411469656e-11 0.0000000000e+00 1.4601164917e-14 5.2585523292e-15 -2.2996916554e-16
 802 3.5976957488e-10 1.8845070138e-12 -1.1169544107e-11 0.0000000000e+00 1.4534094791e-14 5.2403878569e-15 -2.2481016857e-16
 803 3.6005626927e-10 1.8625511408e-12 -1.0925102927e-11 0.0000000000e+00 1.4467403987e-14 5.2217297600e-15 -2.1967170009e-16
 804 3.6031421443e-10 1.8413011405e-12 -1.0678237675e-11 0.0000000000e+00 1.4401090778e-14 5.2025944049e-15 -2.1455362250e-16
 805 3.6054336382e-10 1.8207638140e-12 -1.0429040916e-11 0.0000000000e+00 1.4335153384e-14 5.1829983436e-15 -2.0945579464e-16
 806 3.6074367199e-10 1.8009459866e-12 -1.0177606219e-11 0.0000000000e+00 1.4269589968e-14 5.1629583143e-15 -2.0437807184e-16
 807 3.6091509461e-10 1.7818545071e-12 -9.9240281648e-12 0.0000000000e+00 1.4204398637e-14 5.1424912418e-15 -1.9932030582e-16
 808 3.6105758840e-10 1.7634962482e-12 -9.6684023444e-12 0.0000000000e+00 1.4139577444e-14 5.1216142380e-15 -1.9428234475e-16
 809 3.6117111123e-10 1.7458781064e-12 -9.4108253666e-12 0.0000000000e+00 1.4075124385e-14 5.1003446030e-15 -1.8926403321e-16
 810 3.6125562204e-10 1.7290070018e-12 -9.1513948586e-12 0.0000000000e+00 1.4011037400e-14 5.0786998251e-15 -1.8426521217e-16
 811 3.6131108089e-10 1.7128898788e-12 -8.8902094700e-12 0.0000000000e+00 1.3947314373e-14 5.0566975819e-15 -1.7928571896e-16
 812 3.6133744897e-10 1.6975337053e-12 -8.6273688759e-12 0.0000000000e+00 1.3883953133e-14 5.0343557404e-15 -1.7432538730e-16
 813 3.6133468856e-10 1.6829454733e-12 -8.3629737798e-12 0.0000000000e+00 1.3820951448e-14 5.0116923580e-15 -1.6938404727e-16
 814 3.6130276310e-10 1.6691321987e-12 -8.0971259174e-12 0.0000000000e+00 1.3758307034e-14 4.9887256830e-15 -1.6446152525e-16
 815 3.6124163713e-10 1.6561009213e-12 -7.8299280591e-12 0.0000000000e+00 1.3696017546e-14 4.9654741551e-15 -1.5955764399e-16
 816 3.6115127635e-10 1.6438587050e-12 -7.5614840137e-12 0.0000000000e+00 1.3634080584e-14 4.9419564061e-15 -1.5467222252e-16
 817 3.6103164758e-10 1.6324126376e-12 -7.2918986313e-12 0.0000000000e+00 1.3572493689e-14 4.9181912602e-15 -1.4980507618e-16
 818 3.6088271881e-10 1.6217698310e-12 -7.0212778065e-12 0.0000000000e+00 1.3511254344e-14 4.8941977352e-15 -1.4495601661e-16
 819 3.6070445915e-10 1.6119374212e-12 -6.7497284819e-12 0.0000000000e+00 1.3450359976e-14 4.8699950426e-15 -1.4012485168e-16
 820 3.6049683888e-10 1.6029225683e-12 -6.4773586507e-12 0.0000000000e+00 1.3389807952e-14 4.8456025881e-15 -1.3531138555e-16
 821 3.6025982945e-10 1.5947324563e-12 -6.2042773606e-12 0.0000000000e+00 1.3329595580e-14 4.8210399728e-15 -1.3051541862e-16
 822 3.5999340345e-10 1.5873742936e-12 -5.9305947162e-12 0.0000000000e+00 1.3269720110e-14 4.7963269933e-15 -1.2573674751e-16
 823 3.5969753466e-10 1.5808553127e-12 -5.6564218830e-12 0.0000000000e+00 1.3210178734e-14 4.7714836422e-15 -1.2097516504e-16
 824 3.5937219803e-10 1.5751827702e-12 -5.3818710899e-12 0.0000000000e+00 1.3150968583e-14 4.7465301092e-15 -1.1623046026e-16
 825 3.5901736968e-10 1.5703639471e-12 -5.1070556328e-12 0.0000000000e+00 1.3092086730e-14 4.7214867813e-15 -1.1150241840e-16
 826 3.5863302692e-10 1.5664061484e-12 -4.8320898775e-12 0.0000000000e+00 1.3033530187e-14 4.6963742436e-15 -1.0679082085e-16
 827 3.5821914826e-10 1.5633167036e-12 -4.5570892633e-12 0.0000000000e+00 1.2975295909e-14 4.6712132797e-15 -1.0209544517e-16
 828 3.5777571340e-10 1.5611029664e-12 -4.2821703056e-12 0.0000000000e+00 1.2917380787e-14 4.6460248725e-15 -9.7416065068e-17
 829 3.5730270321e-10 1.5597723148e-12 -4.0074505996e-12 0.0000000000e+00 1.2859781655e-14 4.6208302045e-15 -9.2752450378e-17
 830 3.5680009981e-10 1.5593321511e-12 -3.7330488234e-12 0.0000000000e+00 1.2802495285e-14 4.5956506589e-15 -8.8104367058e-17
 831 3.5626788650e-10 1.5597899022e-12 -3.4590847407e-12 0.0000000000e+00 1.2745518389e-14 4.5705078197e-15 -8.3471577168e-17
 832 3.5570604780e-10 1.5611530191e-12 -3.1856792047e-12 0.0000000000e+00 1.2688847617e-14 4.5454234725e-15 -7.8853838859e-17
 833 3.5511461090e-10 1.5634269008e-12 -2.9129466228e-12 0.0000000000e+00 1.2632479969e-14 4.5204152331e-15 -7.4250974436e-17
 834 3.5449377085e-10 1.5666086246e-12 -2.6409722016e-12 0.0000000000e+00 1.2576414034e-14 4.4954833487e-15 -6.9663075872e-17
 835 3.5384376755e-10 1.5706931054e-12 -2.3698343093e-12 0.0000000000e+00 1.2520648771e-14 4.4706236662e-15 -6.5090302868e-17
 836 3.5316484457e-10 1.5756751630e-12 -2.0996119803e-12 0.0000000000e+00 1.2465183101e-14 4.4458319837e-15 -6.0532815097e-17
 837 3.5245724908e-10 1.5815495206e-12 -1.8303849162e-12 0.0000000000e+00 1.2410015908e-14 4.4211040503e-15 -5.5990772210e-17
 838 3.5172123195e-10 1.5883108057e-12 -1.5622334884e-12 0.0000000000e+00 1.2355146036e-14 4.3964355655e-15 -5.1464333823e-17
 839 3.5095704769e-10 1.5959535487e-12 -1.2952387393e-12 0.0000000000e+00 1.2300572291e-14 4.3718221795e-15 -4.6953659525e-17
 840 3.5016495450e-10 1.6044721831e-12 -1.0294823848e-12 0.0000000000e+00 1.2246293441e-14 4.3472594928e-15 -4.2458908872e-17
 841 3.4934521426e-10 1.6138610451e-12 -7.6504681600e-13 0.0000000000e+00 1.2192308214e-14 4.3227430561e-15 -3.7980241382e-17
 842 3.4849809259e-10 1.6241143734e-12 -5.0201510079e-13 0.0000000000e+00 1.2138615300e-14 4.2982683701e-15 -3.3517816540e-17
 843 3.4762385878e-10 1.6352263084e-12 -2.4047098609e-13 0.0000000000e+00 1.2085213351e-14 4.2738308855e-15 -2.9071793788e-17
 844 3.4672278587e-10 1.6471908925e-12 1.9501100450e-14 0.0000000000e+00 1.2032100977e-14 4.2494260026e-15 -2.4642332529e-17
 845 3.4579515067e-10 1.6600020692e-12 2.7781604849e-13 0.0000000000e+00 1.1979276750e-14 4.2250490714e-15 -2.0229592122e-17
 846 3.4484123369e-10 1.6736536831e-12 5.3438806318e-13 0.0000000000e+00 1.1926739203e-14 4.2006953912e-15 -1.5833731883e-17
 847 3.4386131924e-10 1.6881394795e-12 7.8913066321e-13 0.0000000000e+00 1.1874486829e-14 4.1763602106e-15 -1.1454911079e-17
 848 3.4285569539e-10 1.7034531040e-12 1.0419566790e-12 0.0000000000e+00 1.1822518081e-14 4.1520387273e-15 -7.0932889263e-18
 849 3.4182465402e-10 1.7195881023e-12 1.2927782507e-12 0.0000000000e+00 1.1770831371e-14 4.1277260879e-15 -2.7490245932e-18
 850 3.4076849079e-10 1.7365379196e-12 1.5415068265e-12 0.0000000000e+00 1.1719425073e-14 4.1034173877e-15 1.5777228070e-18
 851 3.3968750519e-10 1.7542959006e-12 1.7880531605e-12 0.0000000000e+00 1.1668297519e-14 4.0791076709e-15 5.8867942160e-18
 852 3.3858200051e-10 1.7728552890e-12 2.0323273112e-12 0.0000000000e+00 1.1617447002e-14 4.0547919297e-15 1.0178030633e-17
 853 3.3745228391e-10 1.7922092271e-12 2.2742386390e-12 0.0000000000e+00 1.1566871772e-14 4.0304651051e-15 1.4451273115e-17
 854 3.3629866638e-10 1.8123507556e-12 2.5136958050e-12 0.0000000000e+00 1.1516570041e-14 4.0061220859e-15 1.8706362782e-17
 855 3.3512146278e-10 1.8332728133e-12 2.7506067687e-12 0.0000000000e+00 1.1466539979e-14 3.9817577090e-15 2.2943140818e-17
 856 3.3392099183e-10 1.8549682365e-12 2.9848787863e-12 0.0000000000e+00 1.1416779714e-14 3.9573667590e-15 2.7161448469e-17
 857 3.3269757615e-10 1.8774297589e-12 3.2164184087e-12 0.0000000000e+00 1.1367287334e-14 3.9329439684e-15 3.1361127053e-17
 858 3.3145154226e-10 1.9006500113e-12 3.4451314795e-12 0.0000000000e+00 1.1318060886e-14 3.9084840170e-15 3.5542017952e-17
 859 3.3018322057e-10 1.9246215212e-12 3.6709231336e-12 0.0000000000e+00 1.1269098375e-14 3.8839815320e-15 3.9703962624e-17
 860 3.2889294544e-10 1.9493367123e-12 3.8936977947e-12 0.0000000000e+00 1.1220397764e-14 3.8594310878e-15 4.3846802599e-17
 861 3.2758105513e-10 1.9747879044e-12 4.1133591739e-12 0.0000000000e+00 1.1171956974e-14 3.8348272059e-15 4.7970379481e-17
 862 3.2624789189e-10 2.0009673130e-12 4.3298102676e-12 0.0000000000e+00 1.1123773885e-14 3.8101643546e-15 5.2074534953e-17
 863 3.2489380188e-10 2.0278670489e-12 4.5429533556e-12 0.0000000000e+00 1.1075846335e-14 3.7854369488e-15 5.6159110777e-17
 864 3.2351913527e-10 2.0554791180e-12 4.7526899994e-12 0.0000000000e+00 1.1028172118e-14 3.7606393501e-15 6.0223948797e-17
 865 3.2212424619e-10 2.0837954207e-12 4.9589210399e-12 0.0000000000e+00 1.0980748989e-14 3.7357658665e-15 6.4268890939e-17
 866 3.2070949277e-10 2.1128077521e-12 5.1615465960e-12 0.0000000000e+00 1.0933574656e-14 3.7108107522e-15 6.8293779217e-17
 867 3.1927523715e-10 2.1425078009e-12 5.3604660626e-12 0.0000000000e+00 1.0886646789e-14 3.6857682075e-15 7.2298455730e-17
 868 3.1782184549e-10 2.1728871498e-12 5.5555781085e-12 0.0000000000e+00 1.0839963011e-14 3.6606323785e-15 7.6282762668e-17
 869 3.1634968797e-10 2.2039372747e-12 5.7467806746e-12 0.0000000000e+00 1.0793520906e-14 3.6353973572e-15 8.0246542313e-17
 870 3.1485915189e-10 2.2356486641e-12 5.9339839526e-12 0.0000000000e+00 1.0747318290e-14 3.6100590399e-15 8.4189489052e-17
 871 3.1335068113e-10 2.2680081614e-12 6.1171495621e-12 0.0000000000e+00 1.0701354059e-14 3.5846207383e-15 8.8110702697e-17
 872 3.1182473734e-10 2.3010015775e-12 6.2962520273e-12 0.0000000000e+00 1.0655627359e-14 3.5590876620e-15 9.2009127673e-17
 873 3.1028178701e-10 2.3346145662e-12 6.4712658557e-12 0.0000000000e+00 1.0610137307e-14 3.5334650691e-15 9.5883700311e-17
 874 3.0872230141e-10 2.3688326244e-12 6.6421655388e-12 0.0000000000e+00 1.0564882992e-14 3.5077582655e-15 9.9733348820e-17
 875 3.0714675668e-10 2.4036410912e-12 6.8089255521e-12 0.0000000000e+00 1.0519863474e-14 3.4819726058e-15 1.0355699327e-16
 876 3.0555563378e-10 2.4390251474e-12 6.9715203553e-12 0.0000000000e+00 1.0475077787e-14 3.4561134931e-15 1.0735354556e-16
 877 3.0394941853e-10 2.4749698154e-12 7.1299243924e-12 0.0000000000e+00 1.0430524933e-14 3.4301863788e-15 1.1112190942e-16
 878 3.0232860162e-10 2.5114599584e-12 7.2841120918e-12 0.0000000000e+00 1.0386203887e-14 3.4041967634e-15 1.1486098037e-16
 879 3.0069367866e-10 2.5484802799e-12 7.4340578667e-12 0.0000000000e+00 1.0342113597e-14 3.3781501963e-15 1.1856964570e-16
 880 2.9904515012e-10 2.5860153234e-12 7.5797361153e-12 0.0000000000e+00 1.0298252979e-14 3.3520522758e-15 1.2224678445e-16
 881 2.9738352141e-10 2.6240494719e-12 7.7211212205e-12 0.0000000000e+00 1.0254620923e-14 3.3259086493e-15 1.2589126739e-16
 882 2.9570930286e-10 2.6625669475e-12 7.8581875508e-12 0.0000000000e+00 1.0211216287e-14 3.2997250138e-15 1.2950195702e-16
 883 2.9402300975e-10 2.7015518107e-12 7.9909094597e-12 0.0000000000e+00 1.0168037902e-14 3.2735071156e-15 1.3307770749e-16
 884 2.9232516233e-10 2.7409879600e-12 8.1192612865e-12 0.0000000000e+00 1.0125084570e-14 3.2472607505e-15 1.3661736465e-16
 885 2.9061628579e-10 2.7808591317e-12 8.2432173563e-12 0.0000000000e+00 1.0082355061e-14 3.2209917641e-15 1.4011976598e-16
 886 2.8889691034e-10 2.8211488989e-12 8.3627519797e-12 0.0000000000e+00 1.0039848119e-14 3.1947060520e-15 1.4358374060e-16
 887 2.8716757117e-10 2.8618406716e-12 8.4778394538e-12 0.0000000000e+00 9.9975624556e-15 3.1684095595e-15 1.4700810919e-16
 888 2.8542880850e-10 2.9029176959e-12 8.5884540618e-12 0.0000000000e+00 9.9554967543e-15 3.1421082823e-15 1.5039168407e-16
 889 2.8368116756e-10 2.9443630535e-12 8.6945700731e-12 0.0000000000e+00 9.9136496682e-15 3.1158082662e-15 1.5373326907e-16
 890 2.8192519865e-10 2.9861596614e-12 8.7961617441e-12 0.0000000000e+00 9.8720198208e-15 3.0895156075e-15 1.5703165958e-16
 891 2.8016145711e-10 3.0282902713e-12 8.8932033176e-12 0.0000000000e+00 9.8306058052e-15 3.0632364529e-15 1.6028564251e-16
 892 2.7839050334e-10 3.0707374693e-12 8.9856690236e-12 0.0000000000e+00 9.7894061848e-15 3.0369770000e-15 1.6349399625e-16
 893 2.7661290286e-10 3.1134836751e-12 9.0735330789e-12 0.0000000000e+00 9.7484194927e-15 3.0107434970e-15 1.6665549068e-16
 894 2.7482922625e-10 3.1565111420e-12 9.1567696879e-12 0.0000000000e+00 9.7076442316e-15 2.9845422432e-15 1.6976888713e-16
 895 2.7304004924e-10 3.1998019558e-12 9.2353530423e-12 0.0000000000e+00 9.6670788739e-15 2.9583795887e-15 1.7283293834e-16
 896 2.7124595266e-10 3.2433380350e-12 9.3092573215e-12 0.0000000000e+00 9.6267218612e-15 2.9322619352e-15 1.7584638848e-16
 897 2.6944752251e-10 3.2871011298e-12 9.3784566925e-12 0.0000000000e+00 9.5865716049e-15 2.9061957355e-15 1.7880797311e-16
 898 2.6764534991e-10 3.3310728220e-12 9.4429253105e-12 0.0000000000e+00 9.5466264855e-15 2.8801874939e-15 1.8171641914e-16
 899 2.6584003118e-10 3.3752345243e-12 9.5026373187e-12 0.0000000000e+00 9.5068848524e-15 2.8542437665e-15 1.8457044485e-16
 900 2.6403216783e-10 3.4195674799e-12 9.5575668488e-12 0.0000000000e+00 9.4673450245e-15 2.8283711609e-15 1.8736875982e-16
 901 2.6222236653e-10 3.4640527620e-12 9.6076880208e-12 0.0000000000e+00 9.4280052894e-15 2.8025763367e-15 1.9011006494e-16
 902 2.6041123921e-10 3.5086712734e-12 9.6529749433e-12 0.0000000000e+00 9.3888639035e-15 2.7768660057e-15 1.9279305238e-16
 903 2.5859940300e-10 3.5534037460e-12 9.6934017141e-12 0.0000000000e+00 9.3499190923e-15 2.7512469316e-15 1.9541640558e-16
 904 2.5678748026e-10 3.5982307401e-12 9.7289424196e-12 0.0000000000e+00 9.3111690495e-15 2.7257259306e-15 1.9797879921e-16
 905 2.5497609865e-10 3.6431326444e-12 9.7595711356e-12 0.0000000000e+00 9.2726119375e-15 2.7003098711e-15 2.0047889915e-16
 906 2.5316589105e-10 3.6880896751e-12 9.7852619272e-12 0.0000000000e+00 9.2342458874e-15 2.6750056744e-15 2.0291536248e-16
 907 2.5135749565e-10 3.7330818757e-12 9.8059888490e-12 0.0000000000e+00 9.1960689982e-15 2.6498203142e-15 2.0528683747e-16
 908 2.4955155594e-10 3.7780891163e-12 9.8217259455e-12 0.0000000000e+00 9.1580793374e-15 2.6247608173e-15 2.0759196351e-16
 909 2.4774867073e-10 3.8230920424e-12 9.8324574698e-12 0.0000000000e+00 9.1202751853e-15 2.5998328513e-15 2.0982984103e-16
 910 2.4594924341e-10 3.8680749381e-12 9.8382087220e-12 0.0000000000e+00 9.0826557738e-15 2.5750364643e-15 2.1200144928e-16
 911 2.4415363029e-10 3.9130229078e-12 9.8390157065e-12 0.0000000000e+00 9.0452205593e-15 2.5503702776e-15 2.1410825126e-16
 912 2.4236219041e-10 3.9579209313e-12 9.8349149601e-12 0.0000000000e+00 9.0079689788e-15 2.5258328905e-15 2.1615172595e-16
 913 2.4057528548e-10 4.0027538629e-12 9.8259435533e-12 0.0000000000e+00 8.9709004502e-15 2.5014228812e-15 2.1813336833e-16
 914 2.3879327999e-10 4.0475064315e-12 9.8121390917e-12 0.0000000000e+00 8.9340143722e-15 2.4771388061e-15 2.2005468947e-16
 915 2.3701654110e-10 4.0921632401e-12 9.7935397184e-12 0.0000000000e+00 8.8973101237e-15 2.4529792000e-15 2.2191721654e-16
 916 2.3524543874e-10 4.1367087655e-12 9.7701841148e-12 0.0000000000e+00 8.8607870643e-15 2.4289425760e-15 2.2372249288e-16
 917 2.3348034556e-10 4.1811273580e-12 9.7421115030e-12 0.0000000000e+00 8.8244445341e-15 2.4050274252e-15 2.2547207802e-16
 918 2.3172163696e-10 4.2254032409e-12 9.7093616469e-12 0.0000000000e+00 8.7882818535e-15 2.3812322171e-15 2.2716754777e-16
 919 2.2996969111e-10 4.2695205106e-12 9.6719748543e-12 0.0000000000e+00 8.7522983231e-15 2.3575553990e-15 2.2881049421e-16
 920 2.2822488892e-10 4.3134631355e-12 9.6299919779e-12 0.0000000000e+00 8.7164932240e-15 2.3339953964e-15 2.3040252580e-16
 921 2.2648761407e-10 4.3572149565e-12 9.5834544180e-12 0.0000000000e+00 8.6808658171e-15 2.3105506127e-15 2.3194526738e-16
 922 2.2475825303e-10 4.4007596861e-12 9.5324041230e-12 0.0000000000e+00 8.6454153436e-15 2.2872194289e-15 2.3344036022e-16
 923 2.2303719503e-10 4.4440809084e-12 9.4768835919e-12 0.0000000000e+00 8.6101410247e-15 2.2640002041e-15 2.3488946210e-16
 924 2.2132483210e-10 4.4871620784e-12 9.4169358756e-12 0.0000000000e+00 8.5750420616e-15 2.2408912749e-15 2.3629424732e-16
 925 2.1962155907e-10 4.5299865220e-12 9.3526045786e-12 0.0000000000e+00 8.5401176352e-15 2.2178909556e-15 2.3765640677e-16
 926 2.1792777357e-10 4.5725374356e-12 9.2839338605e-12 0.0000000000e+00 8.5053669064e-15 2.1949975381e-15 2.3897764795e-16
 927 2.1624387602e-10 4.6147978858e-12 9.2109684381e-12 0.0000000000e+00 8.4707890158e-15 2.1722092919e-15 2.4025969507e-16
 928 2.1457026968e-10 4.6567508086e-12 9.1337535867e-12 0.0000000000e+00 8.4363830836e-15 2.1495244637e-15 2.4150428903e-16
 929 2.1290736063e-10 4.6983790098e-12 9.0523351416e-12 0.0000000000e+00 8.4021482096e-15 2.1269412776e-15 2.4271318750e-16
 930 2.1125555775e-10 4.7396651642e-12 8.9667595002e-12 0.0000000000e+00 8.3680834733e-15 2.1044579353e-15 2.4388816499e-16
 931 2.0961527280e-10 4.7805918154e-12 8.8770736235e-12 0.0000000000e+00 8.3341879335e-15 2.0820726154e-15 2.4503101286e-16
 932 2.0798692036e-10 4.8211413754e-12 8.7833250374e-12 0.0000000000e+00 8.3004606284e-15 2.0597834737e-15 2.4614353936e-16
 933 2.0637091785e-10 4.8612961243e-12 8.6855618351e-12 0.0000000000e+00 8.2669005756e-15 2.0375886433e-15 2.4722756972e-16
 934 2.0476768557e-10 4.9010382099e-12 8.5838326778e-12 0.0000000000e+00 8.2335067720e-15 2.0154862340e-15 2.4828494616e-16
 935 2.0317764667e-10 4.9403496477e-12 8.4781867973e-12 0.0000000000e+00 8.2002781936e-15 1.9934743329e-15 2.4931752796e-16
 936 2.0160122718e-10 4.9792123201e-12 8.3686739969e-12 0.0000000000e+00 8.1672137955e-15 1.9715510037e-15 2.5032719148e-16
 937 2.0003885599e-10 5.0176079762e-12 8.2553446536e-12 0.0000000000e+00 8.1343125118e-15 1.9497142870e-15 2.5131583023e-16
 938 1.9849096490e-10 5.0555182316e-12 8.1382497193e-12 0.0000000000e+00 8.1015732559e-15 1.9279622003e-15 2.5228535493e-16
 939 1.9695798857e-10 5.0929245682e-12 8.0174407229e-12 0.0000000000e+00 8.0689949197e-15 1.9062927375e-15 2.5323769349e-16
 940 1.9544036460e-10 5.1298083333e-12 7.8929697716e-12 0.0000000000e+00 8.0365763741e-15 1.8847038692e-15 2.5417479114e-16
 941 1.9393853346e-10 5.1661507398e-12 7.7648895527e-12 0.0000000000e+00 8.0043164690e-15 1.8631935427e-15 2.5509861043e-16
 942 1.9245293854e-10 5.2019328659e-12 7.6332533354e-12 0.0000000000e+00 7.9722140327e-15 1.8417596816e-15 2.5601113129e-16
 943 1.9098402616e-10 5.2371356542e-12 7.4981149721e-12 0.0000000000e+00 7.9402678721e-15 1.8204001859e-15 2.5691435106e-16
 944 1.8953224555e-10 5.2717399120e-12 7.3595289004e-12 0.0000000000e+00 7.9084767730e-15 1.7991129320e-15 2.5781028456e-16
