# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
#  l TT               EE               TE                BB               phiphi           Tphi             Ephi             
  43 1.6831885229e-10 9.4258383702e-15 1.8830707948e-13 0.0000000000e+00 7.6397113667e-11 8.4477955251e-12 -9.6233344495e-15
  44 1.7092283379e-10 1.0177057221e-14 1.7561252350e-13 0.0000000000e+00 7.2844244735e-11 8.0926990852e-12 -9.7818706647e-15
  45 1.7350561738e-10 1.0964976027e-14 1.6018257371e-13 0.0000000000e+00 6.9511648442e-11 7.7536292767e-12 -9.7248431852e-15
  46 1.7610924351e-10 1.1790764195e-14 1.4332914539e-13 0.0000000000e+00 6.6381108796e-11 7.4280770435e-12 -9.6490828427e-15
  47 1.7874984425e-10 1.2653615838e-14 1.2504806411e-13 0.0000000000e+00 6.3439147525e-11 7.1208502215e-12 -9.4911052918e-15
  48 1.8144760578e-10 1.3552827050e-14 1.0478653015e-13 0.0000000000e+00 6.0669202683e-11 6.8354503462e-12 -9.1260321949e-15
  49 1.8418134064e-10 1.4491416929e-14 8.3204676379e-14 0.0000000000e+00 5.8060113688e-11 6.5689249079e-12 -8.6074421025e-15
  50 1.8692649185e-10 1.5472471514e-14 6.1004783433e-14 0.0000000000e+00 5.5598997650e-11 6.3166528511e-12 -8.0492681770e-15
  51 1.8970969697e-10 1.6493759433e-14 3.7273299116e-14 0.0000000000e+00 5.3276261345e-11 6.0776615975e-12 -7.5738158063e-15
  52 1.9255815905e-10 1.7552181757e-14 1.0890968732e-14 0.0000000000e+00 5.1080821119e-11 5.8510897293e-12 -7.2816667074e-15
  53 1.9543148251e-10 1.8648673260e-14 -1.7783128794e-14 0.0000000000e+00 4.9005009755e-11 5.6333561975e-12 -7.1298819499e-15
  54 1.9828928242e-10 1.9785043551e-14 -4.8090784500e-14 0.0000000000e+00 4.7040046709e-11 5.4218883488e-12 -7.0333299498e-15
  55 2.0119311757e-10 2.0961606167e-14 -8.0093956223e-14 0.0000000000e+00 4.5179081363e-11 5.2238646721e-12 -6.9251979479e-15
